,price,sq_area,furinture,BHK,location,bathrooms
0," 5,000 ",800 ,Unfurnished,1 BHK Apartment in Pragati NJR KLR Nagar,"Medchal, Hyderabad",No Deposit1 bathroomsNorthEast facing
1," 8,500 ",850 ,Semi-Furnished,1 BHK Independent House,"Vanasthalipuram, Hyderabad",No Deposit1 bathroomsNorth facing
2," 10,500 ",1300 ,Semi-Furnished,2 BHK Independent House,"Saroornagar, Hyderabad",No Deposit2 bathrooms
3," 70,000 ",1710 ,Furnished,3 BHK Apartment in Aparna Serene Park,"Kondapur, Hyderabad",No Deposit3 bathrooms
4," 7,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Padmavathi Nilayam,"Pragathi Nagar, Hyderabad",No Deposit2 bathrooms
5," 9,960 ",830 ,Unfurnished,2 BHK Independent Floor,"Mehdipatnam, Hyderabad",No Deposit2 bathroomsSouth facing
6," 25,000 ",800 ,Semi-Furnished,2 BHK Independent House,"Madhapur, Hyderabad",No Deposit2 bathroomsNorthEast facing
7," 70,000 ",3300 ,Unfurnished,8 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit4 bathrooms
8," 12,500 ",1090 ,Semi-Furnished,3 BHK Apartment in Modi Silver Springs,"Chinthal, Hyderabad",No Deposit2 bathrooms
9," 15,500 ",1300 ,Unfurnished,3 BHK Independent House,"Qutub Shahi Tombs, Hyderabad",No Deposit2 bathrooms
10," 10,000 ",800 ,Furnished,2 BHK Apartment in Reputed Builder Janapriya Nivas,"Nacharam, Hyderabad",No Deposit1 bathrooms
11," 55,000 ",1492 ,Semi-Furnished,3 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathrooms
12, 2 L,1200 ,Unfurnished,2 BHK Apartment,"muthangi, Hyderabad",No Deposit2 bathrooms
13," 20,000 ",1230 ,Semi-Furnished,2 BHK Apartment,"Attapur, Hyderabad",No Deposit2 bathrooms
14," 30,000 ",2060 ,Semi-Furnished,6 BHK Apartment in Ramky Greenview Apartments,"Maheshwaram, Hyderabad",No Deposit3 bathroomsEast facing
15," 35,000 ",2700 ,Furnished,3 BHK Independent Floor,"Nagole, Hyderabad",No Deposit3 bathrooms
16," 48,000 ",2160 ,Semi-Furnished,3 BHK Apartment in My Home Vihanga,"Gachibowli, Hyderabad",No Deposit3 bathrooms
17," 19,000 ",1080 ,Furnished,1 RK Studio Apartment in Jaihind Enclave,"Madhapur, Hyderabad",No Deposit1 bathrooms
18," 20,000 ",850 ,Furnished,2 BHK Apartment,"Malkajgiri, Hyderabad",No Deposit2 bathroomsEast facing
19," 15,000 ",500 ,Furnished,1 RK Studio Apartment,"Kukatpally, Hyderabad",No Deposit1 bathrooms
20," 10,000 ",1400 ,Unfurnished,2 BHK Independent Floor,"Jillelguda, Hyderabad",No Deposit2 bathrooms
21," 7,100 ",1440 ,Unfurnished,1 BHK Independent House,"Bandlaguda Jagir, Hyderabad",No Deposit1 bathroomsWest facing
22," 13,500 ",1400 ,Unfurnished,2 BHK Independent House,"Kothapet, Hyderabad",No Deposit2 bathrooms
23," 40,000 ",1500 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
24," 13,500 ",1200 ,Semi-Furnished,2 BHK Apartment,"Kothapet, Hyderabad",No Deposit2 bathrooms
25," 10,000 ",1550 ,Unfurnished,2 BHK Independent Floor,"Srinilaya Township, Hyderabad",No Deposit
26," 13,000 ",1200 ,Unfurnished,2 BHK Apartment,"Jeedimetla, Hyderabad",No Deposit2 bathrooms
27," 24,000 ",1355 ,Furnished,2 BHK Apartment in My Home Avatar,"Manikonda, Hyderabad",No Deposit2 bathrooms
28," 50,000 ",2880 ,Furnished,3 BHK Independent Floor,"Nampally, Hyderabad",No Deposit4 bathrooms
29," 20,000 ",1130 ,Semi-Furnished,2 BHK Apartment,"Chintalmet, Hyderabad",No Deposit2 bathroomsEast facing
30," 37,635 ",2509 ,Unfurnished,3 BHK Villa,"Nagole, Hyderabad",No Deposit3 bathroomsWest facing
31," 9,000 ",1022 ,Unfurnished,2 BHK Independent Floor,"Vanasthalipuram, Hyderabad",No Deposit2 bathrooms
32," 8,000 ",500 ,Unfurnished,1 RK Studio Apartment,"Mansoorabad, Hyderabad",No Deposit1 bathrooms
33," 32,000 ",1400 ,Furnished,3 BHK Apartment,"Basheer Bagh, Hyderabad",No Deposit
34," 23,000 ",300 ,Furnished,1 BHK Apartment,"Gopanapalli, Hyderabad",No Deposit1 bathrooms
35," 15,000 ",1800 ,Unfurnished,4 BHK Apartment,"Upparpally, Hyderabad",No Deposit2 bathrooms
36," 17,000 ",1000 ,Semi-Furnished,2 BHK Independent House,"Attapur, Hyderabad",No Deposit2 bathrooms
37," 25,000 ",1900 ,Furnished,2 BHK Independent House,"Erragadda, Hyderabad",No Deposit2 bathrooms
38," 50,000 ",3400 ,Semi-Furnished,8 BHK Villa,"Kismatpur, Hyderabad",No Deposit5 bathrooms
39," 25,000 ",1300 ,Furnished,2 BHK Apartment,"Shalibanda, Hyderabad",No Deposit2 bathrooms
40," 18,000 ",1360 ,Semi-Furnished,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad",No Deposit2 bathroomsEast facing
41," 40,000 ",3200 ,Furnished,4 BHK Villa,"Shamshabad, Hyderabad",No Deposit2 bathroomsWest facing
42," 9,500 ",891 ,Unfurnished,3 BHK Apartment,"Toli Chowki, Hyderabad",No Deposit2 bathrooms
43," 13,500 ",1100 ,Semi-Furnished,2 BHK Apartment in Swaraj Homes Younus Manzil Apartments,"Moosapet, Hyderabad",No Deposit2 bathrooms
44," 8,000 ",450 ,Unfurnished,1 BHK Apartment,"Banjara Hills, Hyderabad",No Deposit1 bathroomsEast facing
45," 7,500 ",850 ,Semi-Furnished,2 BHK Independent House,"Trimalgherry, Hyderabad",No Deposit2 bathrooms
46," 27,000 ",1620 ,Semi-Furnished,3 BHK Apartment in Ramky One Marvel,"Gajulramaram Kukatpally, Hyderabad",No Deposit3 bathrooms
47," 18,000 ",1300 ,Semi-Furnished,3 BHK Apartment,"Ramachandra Puram, Hyderabad",No Deposit3 bathrooms
48," 27,000 ",1600 ,Furnished,3 BHK Villa in Sri Jagathswapna Spanzilla,"Uppal Kalan, Hyderabad",No Deposit3 bathrooms
49," 21,000 ",1900 ,Semi-Furnished,3 BHK Apartment,"Qutub Shahi Tombs, Hyderabad",No Deposit3 bathrooms
50," 5,000 ",400 ,Semi-Furnished,1 BHK Apartment,"Serilingampally, Hyderabad",No Deposit1 bathroomsEast facing
51," 20,000 ",1200 ,Semi-Furnished,2 BHK Independent Floor,"Moghalpura, Hyderabad",No Deposit2 bathrooms
52," 12,500 ",1500 ,Semi-Furnished,3 BHK Apartment,"Somajiguda, Hyderabad",No Deposit
53," 14,500 ",1503 ,Semi-Furnished,2 BHK Apartment,"East Bahadurpura, Hyderabad",No Deposit2 bathrooms
54," 35,000 ",2000 ,Semi-Furnished,4 BHK Independent House,"Gachibowli, Hyderabad",No Deposit3 bathrooms
55," 55,000 ",7000 ,Furnished,5 BHK Independent House,"Dilsukh Nagar, Hyderabad",No Deposit5 bathrooms
56," 30,000 ",2200 ,Semi-Furnished,3 BHK Independent Floor,"Madhapur, Hyderabad",No Deposit2 bathroomsEast facing
57," 12,000 ",1200 ,Unfurnished,2 BHK Independent House,"Shaikpet, Hyderabad",No Deposit1 bathroomsNorthEast facing
58," 10,000 ",1100 ,Unfurnished,2 BHK Independent Floor,"Boduppal, Hyderabad",No Deposit2 bathroomsEast facing
59," 40,000 ",2500 ,Semi-Furnished,4 BHK Apartment,"Rajapur, Hyderabad",No Deposit3 bathrooms
60," 13,000 ",950 ,Semi-Furnished,2 BHK Apartment,"Kukatpally, Hyderabad",No Deposit2 bathrooms
61," 80,000 ",4000 ,Semi-Furnished,5 BHK Villa in CPR Bella Vista,"Nallagandla Gachibowli, Hyderabad",No Deposit5 bathroomsWest facing
