Locality,region,id
Medchal,Outsk
Vanasthalipuram,ORR,relation/7850268
Mehdipatnam,centre,relation/7857549
Madhapur,IT,relation/7853541
Maheshwaram,Outsk,
Malkajgiri,centre,relation/7858677
Bandlaguda Jagir,ORR
Kondapur,IT,relation/7853545
Chintalmet,north
Nagole,east,
Krishna Reddy Pet,ORR,
Shamshabad,ORR,
Banjara Hills,centre,relation/7852805
Serilingampally,west,relation/7853544
Shaikpet,west,relation/7857543
Boduppal,centre,relation/7850118
Nallagandla Gachibowli,west,
Manikonda,west,
Upparpally,Outsk
Ramachandra Puram,west,relation/7867250
Kokapet,west,
Bolarum,north,relation/7849439
Moinabad,Outsk,
Miyapur,IT,relation/7853540
Trimalgherry,north,
Gandipet,west,
East Marredpally,centre
Habsiguda,centre,relation/7852446
Nizampet,west,
LB Nagar,south,
Ameerpet,centre,relation/7857794
Sri Nagar Colony,centre,
Manneguda,ORR,
Nallakunta,centre,relation/7854083
Jubilee Hills,centre,relation/7848859
Kukatpally,IT,relation/7858248
Tellapur,west,
Hitech City,IT,
Vijaya Nagar Colony,centre,relation/7857547
Mahendra Hills,centre,
West Marredpally,centre,
Sanath Nagar,north,relation/7857793
Kothaguda,west,
Nanakramguda,west,
Narsingi,west,
Gachibowli,IT,relation/7848824
Chandanagar,IT,relation/7853543
Begumpet,centre,relation/7857840
Himayat Nagar,centre,relation/7854081
Somajiguda,centre,relation/7857795
Amberpet,centre,relation/7866626
Masab Tank,centre,
Lakdikapul,centre,
Whitefield,IT,
Old Bowenpally,west,relation/7858294
Mallampet,ORR
Pragathi Nagar Kukatpally,west
Shanthi Nagar,centre,
Rajendra Nagar,south,relation/7848844
Osman Nagar,ORR,
Bachupally,ORR,
Saroor Nagar,east,relation/7861519
Gowlidody,centre
Khairatabad Road,centre,relation/7848799
Nampally,centre,
Toli Chowki,centre,relation/7857552
Kowkur,north
Abids,centre,
Kollur,ORR,
Gopanpally,west,
Kismatpur,Outsk,
Aminpur,IT,
Sainikpuri,north,
Kachiguda,centre,relation/7866628
Yousufguda,centre,relation/7857796
Nacharam,centre,relation/7849315
Puppalaguda,west
Moosarambagh Road,centre,relation/7861525
Dilsukh Nagar,south,relation/7861518
Sanjeeva Reddy Nagar,centre
